timestamps,data
2024-06-12 14:00:42,208516
2024-06-12 14:00:42,208517
2024-06-12 14:00:42,208518
2024-06-12 14:00:42,208519
2024-06-12 14:00:42,208520
2024-06-12 14:00:42,208521
2024-06-12 14:00:43,208522
2024-06-12 14:00:43,208523
2024-06-12 14:00:43,208524
2024-06-12 14:00:43,208525
2024-06-12 14:00:43,208526
2024-06-12 14:00:43,208527
2024-06-12 14:00:43,208528
2024-06-12 14:00:43,208529
2024-06-12 14:00:43,208530
2024-06-12 14:00:44,208531
2024-06-12 14:00:44,208532
2024-06-12 14:00:44,208533
2024-06-12 14:00:44,208534
2024-06-12 14:00:44,208535
2024-06-12 14:00:44,208536
2024-06-12 14:00:44,208537
2024-06-12 14:00:44,208538
2024-06-12 14:00:44,208539
2024-06-12 14:00:44,208540
2024-06-12 14:00:45,208541
2024-06-12 14:00:45,208542
2024-06-12 14:00:45,208543
2024-06-12 14:00:45,208544
2024-06-12 14:00:45,208545
2024-06-12 14:00:45,208546
2024-06-12 14:00:45,208547
2024-06-12 14:00:45,208548
2024-06-12 14:00:45,208549
2024-06-12 14:00:45,208550
2024-06-12 14:00:46,208551
2024-06-12 14:00:46,208552
2024-06-12 14:00:46,208553
2024-06-12 14:00:46,208554
2024-06-12 14:00:46,208555
2024-06-12 14:00:46,208556
2024-06-12 14:00:46,208557
2024-06-12 14:00:46,208558
2024-06-12 14:00:46,208559
2024-06-12 14:00:46,208560
2024-06-12 14:00:47,208561
2024-06-12 14:00:47,208562
2024-06-12 14:00:47,208563
2024-06-12 14:00:47,208564
2024-06-12 14:00:47,208565
2024-06-12 14:00:47,208566
2024-06-12 14:00:47,208567
2024-06-12 14:00:47,208568
2024-06-12 14:00:47,208569
2024-06-12 14:00:48,208570
2024-06-12 14:00:48,208571
2024-06-12 14:00:48,208572
2024-06-12 14:00:48,208573
2024-06-12 14:00:48,208574
2024-06-12 14:00:48,208575
2024-06-12 14:00:48,208576
2024-06-12 14:00:48,208577
2024-06-12 14:00:48,208578
2024-06-12 14:00:48,208579
2024-06-12 14:00:49,208580
2024-06-12 14:00:49,208581
2024-06-12 14:00:49,208582
2024-06-12 14:00:49,208583
2024-06-12 14:00:49,208584
2024-06-12 14:00:49,208585
2024-06-12 14:00:49,208586
2024-06-12 14:00:49,208587
2024-06-12 14:00:49,208588
2024-06-12 14:00:49,208589
2024-06-12 14:00:50,208590
2024-06-12 14:00:50,208591
2024-06-12 14:00:50,208592
2024-06-12 14:00:50,208593
2024-06-12 14:00:50,208594
2024-06-12 14:00:50,208595
2024-06-12 14:00:50,208596
2024-06-12 14:00:50,208597
2024-06-12 14:00:50,208598
2024-06-12 14:00:50,208599
2024-06-12 14:00:51,208600
2024-06-12 14:00:51,208601
2024-06-12 14:00:51,208602
2024-06-12 14:00:51,208603
2024-06-12 14:00:51,208604
2024-06-12 14:00:51,208605
2024-06-12 14:00:51,208606
2024-06-12 14:00:51,208607
2024-06-12 14:00:51,208608
2024-06-12 14:00:51,208609
2024-06-12 14:00:52,208610
2024-06-12 14:00:52,208611
2024-06-12 14:00:52,208612
2024-06-12 14:00:52,208613
2024-06-12 14:00:52,208614
2024-06-12 14:00:52,208615
2024-06-12 14:00:52,208616
2024-06-12 14:00:52,208617
2024-06-12 14:00:52,208618
2024-06-12 14:00:53,208619
2024-06-12 14:00:53,208620
2024-06-12 14:00:53,208621
2024-06-12 14:00:53,208622
2024-06-12 14:00:53,208623
2024-06-12 14:00:53,208624
2024-06-12 14:00:53,208625
2024-06-12 14:00:53,208626
2024-06-12 14:00:53,208627
2024-06-12 14:00:53,208628
2024-06-12 14:00:54,208629
2024-06-12 14:00:54,208630
2024-06-12 14:00:54,208631
2024-06-12 14:00:54,208632
2024-06-12 14:00:54,208633
2024-06-12 14:00:54,208634
2024-06-12 14:00:54,208635
2024-06-12 14:00:54,208636
2024-06-12 14:00:54,208637
2024-06-12 14:00:54,208638
2024-06-12 14:00:55,208639
2024-06-12 14:00:55,208640
2024-06-12 14:00:55,208641
2024-06-12 14:00:55,208642
2024-06-12 14:00:55,208643
2024-06-12 14:00:55,208644
2024-06-12 14:00:55,208645
2024-06-12 14:00:55,208646
2024-06-12 14:00:55,208647
2024-06-12 14:00:55,208648
2024-06-12 14:00:56,208649
2024-06-12 14:00:56,208650
2024-06-12 14:00:56,208651
2024-06-12 14:00:56,208652
2024-06-12 14:00:56,208653
2024-06-12 14:00:56,208654
2024-06-12 14:00:56,208655
2024-06-12 14:00:56,208656
2024-06-12 14:00:56,208657
2024-06-12 14:00:56,208658
2024-06-12 14:00:57,208659
2024-06-12 14:00:57,208660
2024-06-12 14:00:57,208661
2024-06-12 14:00:57,208662
2024-06-12 14:00:57,208663
2024-06-12 14:00:57,208664
2024-06-12 14:00:57,208665
2024-06-12 14:00:57,208666
2024-06-12 14:00:57,208667
2024-06-12 14:00:58,208668
2024-06-12 14:00:58,208669
2024-06-12 14:00:58,208670
2024-06-12 14:00:58,208671
2024-06-12 14:00:58,208672
2024-06-12 14:00:58,208673
